filename; type; modification date; size in bytes; duration; format; access rights
1laba;sh(text/x-shellscript);2020-04-19;1788;;;-rwxr-xr-x 1 ilya ilya 1788 апр 19 18:34 /home/ilya/1laba.sh
1лабаобразец;(text/plain);2020-04-19;490;;;-rw-r--r-- 1 ilya ilya 490 апр 19 14:55 /home/ilya/1лабаобразец
3;(text/plain);2020-04-11;38;;;-rw-r--r-- 1 ilya ilya 38 апр 11 21:40 /home/ilya/3
calculator;sh(text/x-shellscript);2020-04-06;252;;;-rwxr-xr-x 1 ilya ilya 252 апр  6 20:55 /home/ilya/calculator.sh
Data;xls(text/plain);2020-04-09;66;;;-rw-r--r-- 1 ilya ilya 66 апр  9 20:14 /home/ilya/Data.xls
digits;(inode/x-empty);2020-04-06;0;;;-rw-r--r-- 1 ilya ilya 0 апр  6 19:22 /home/ilya/digits
letters;(inode/x-empty);2020-04-06;0;;;-rw-r--r-- 1 ilya ilya 0 апр  6 19:22 /home/ilya/letters
myscript1;sh(text/x-shellscript);2020-04-11;110;;;-rwxr-xr-x 1 ilya ilya 110 апр 11 21:44 /home/ilya/myscript1.sh
result;csv(text/plain);2020-04-19;942;;;-rw-r--r-- 1 ilya ilya 942 апр 19 18:35 /home/ilya/result.csv
s;txt(text/plain);2020-04-09;91;;;-rw-r--r-- 1 ilya ilya 91 апр  9 21:32 /home/ilya/s.txt
*;(cannot open `/home/ilya/Видео/*' (No such file or directory));;;;;
*;(cannot open `/home/ilya/Документы/*' (No such file or directory));;;;;
03887;mp3(audio/mpeg);2020-04-19;1426811;1 min 29 s;;-rw-rw-r-- 1 ilya ilya 1426811 апр 19 14:54 /home/ilya/Загрузки/03887.mp3
_1284-12125;jpg(image/jpeg);2020-04-19;105708;;jpg;-rw-rw-r-- 1 ilya ilya 105708 апр 19 17:03 /home/ilya/Загрузки/_1284-12125.jpg
267px-Rotating_earth_(large);gif(image/gif);2020-04-19;578668;;gif;-rw-rw-r-- 1 ilya ilya 578668 апр 19 17:03 /home/ilya/Загрузки/267px-Rotating_earth_(large).gif
adobe-release-x86_64-1.0-1.noarch;0-1.noarch.rpm(application/x-rpm);2020-04-14;4256;;;-rw-rw-r-- 1 ilya ilya 4256 апр 14 21:26 /home/ilya/Загрузки/adobe-release-x86_64-1.0-1.noarch.rpm
result;csv(text/plain);2020-04-19;209;;;-rw-r--r-- 1 ilya ilya 209 апр 19 15:28 /home/ilya/Загрузки/result.csv
Снимок экрана от 2020-04-14 21-15-44;png(image/png);2020-04-14;160461;;png;-rw-rw-r-- 1 ilya ilya 160461 апр 14 21:15 /home/ilya/Изображения/Снимок экрана от 2020-04-14 21-15-44.png
Снимок экрана от 2020-04-14 21-16-23;png(image/png);2020-04-14;209968;;png;-rw-rw-r-- 1 ilya ilya 209968 апр 14 21:16 /home/ilya/Изображения/Снимок экрана от 2020-04-14 21-16-23.png
Снимок экрана от 2020-04-14 21-16-31;png(image/png);2020-04-14;209968;;png;-rw-rw-r-- 1 ilya ilya 209968 апр 14 21:16 /home/ilya/Изображения/Снимок экрана от 2020-04-14 21-16-31.png
*;(cannot open `/home/ilya/Музыка/*' (No such file or directory));;;;;
*;(cannot open `/home/ilya/Общедоступные/*' (No such file or directory));;;;;
*;(cannot open `/home/ilya/Рабочий/*' (No such file or directory));;;;;
*;(cannot open `/home/ilya/Шаблоны/*' (No such file or directory));;;;;
